alarm clock, väckarklocka
desk, bord (n)
refrigerator, kylskåp (n)
armchair, länstol
door, dörr
roof, tak (n)
doorbell, ringklocka
room, rum (n)
balcony, balkong
rug, matta
basement, källare
fence, staket (n)
sheet, lakan (n)
basket, korg
fireplace, eldstad
shelf, hylla
bathroom, badrum
floor, golv (n)
shower, dusch
bathtub, bad
floor / storey,  våning
sink, diskbänk
bed, säng
furniture, möbler (pl.)
sofa, soffa
bedroom, sovrum (n)
garden, trädgård
stairs, trappa
blanket, filt
ground floor, botten våning
stove, spis
blinds, rullgardin
house, hus (n)
table, bord (n)
bookcase, bokhylla
iron (flat), strykjärn (n)
tap (faucet), kran
box, kista
key, nyckel
telephon, telefon
kitchen, kök (n)
television, teve
carpet, matta
lamp, lampa
toaster, brödrost
ceiling, tak (n)
toilet (WC), toalett
chair, stol
light bulb, glödlampa
towel, handduk
chimney, skorsten
lock, lås (n)
vacuum cleaner, dammsugare
clock, klocka
mattress, madrass
vase, vas
closet, garderob
mirror, spegel
wall, mur
computer, dator
oven, ugn
wall (room), vägg
corner, hörn (n)
window, fönster (n)
cupboard, skåp (n)
picture, tavla
yard, gård
curtain, gardin
pillow, huvudkudde
pipe (water), rör (n)
home,hem (n)
flat,platt
greenhouse,växthus (n)
living room,vardagsrum (n)
cloak room,kappa rum
sauna,bastu
washing machine,tvättmaskin
dishwasher,diskmaskin
microwave oven,microvågsugn
fork,gaffel
wardrobe,garderob
