air,luft
bank,strand
bay,vik
beach,strand
branch,gren
bud,knopp
bush,buske
cape,kap
cave,grotta
climate,klimat
cloud,moln (n)
coast,kust
comet,komet
constellation,konstellation
country(side),land (n)
current,ström
daffodil,narcisser
daisy,tusensköna
darkness,mörker (n)
desert,öken
dew,dagg
dust,damm (n)
earth,jord
east,öster
field,fält
flower,blomma
foam,skum (n)
fog,dimma
forest,skog
fresh water,sötvatten (n)
frost,frost
grass,gräs (n)
gulf,vik
hail,hagel (n)
hay,hö (n)
high tide,flod
hill,kulle
ice,is
island,ö
isthmus,"landtunga, näs"
jungle,djungel
lake,sjö
leaf,blad
light,ljus (n)
lightning,blixt
lily,lilja
low tide,ebb
meadow,äng
moon,måne
mountain,berg (n)
mountain range,bergskedja
mud,mudder (n)
nature,natur
north,norr
peninsula,halvö
plain,slät
planet,planet
plant,växt
pond,damm (n)
rain,regn (n)
rainbow,regnbåge
river,flod
rock,klippa
root,rot
rose,ros
salt water,saltvatten (n)
sand,sand
sea,hav (n)
shadow,skugga
sky,himmel
snow,snö
soil,mark
south,söder
spring (water),källa
star,stjärna
stem,stam
storm,storm
strait,sund
stream,bäck
sun,sol
sunflower,solros
thaw,töväder (n)
thunder,åska
tornado,tromb
tree,träd
tulip,tulpan
valley,dal
view,utsikt
water,vatten (n)
waterfall,vattenfall (n)
wave,bölja
weather,väder (n)
west,väster
wind,vind
world,värld
