backpack,ryggsäck
book,bok
briefcase,portfölj
cabinet,kabinett
cable,kabel
calculator,miniräknare
calendar,kalender
chair,stol
chalk,krita
computer,dator
date,datum (n)
desk,bord
dictionary,ordbok
disk (floppy),diskett
document,dokument
drawer,låda
envelope,kuvert (n)
eraser,gummi (n)
fax machine,telefax
file,fil
globe,jordglob
glue,limma
ink,bläck (n)
keyboard,tangentbord
lamp,lampa
laptop,bärbar dator
map,karta
microphone,mikrofon
monitor,monitor
mouse,mus
mousepad,musmatta
newspaper,dagstidning
notebook,anteckningsbok
page,sida
paper,papper
paper clip,gem
pen,penna
pencil,blyertspenna
periodical,tidskrift
photocopier,kopieringsmaskin
printer,skrivare
ruler,linjal
scanner,scanner / bildläsare
scissors,sax
sender,sändare
software,mjukvara
typewriter,skrivmaskin
wastebasket,soptunna
mobile phone,mobiltelefon
keyboard,tangentbord (n)
speaker,högtalare
headphones,hurlurar (p)
hdd,hårddisk
processor,processor
