ankle,fotled
arm,arm
artery,pulsåder
back,rygg
beard,skägg (n)
belly,buk
bladder,blåsa
blood,blod (n)
body,kropp
bone,ben (n)
brain,hjärna
breast,bröst
breath,"ande, andedräkt"
calf,vad
cheek,kind
chest,bröst (n)
chin,haka
ear,öra (n)
elbow,armbåge
eye,öga (n)
eyebrow,ögonbryn (n)
eyelid,ögonlock (n)
face,ansikte (n)
finger,finger (n), , 
fist,knytnäve
flesh,kött (n)
foot,fot
forehead,panna
gum,tandkött (n)
hair,hår (n)
hand,hand
head,huvud (n)
health,hälsa
heart,hjärta (n)
heel,häl
hip,höft
intestines,inälvor (pl.)
jaw,käke
kidney,njure
knee,knä (n)
leg,ben (n)
lip,läpp
liver,lever
lung,lunga
moustache,mustasch
mouth,mun
muscle,muskel
nail,nagel
neck,hals
nerve,nerv
nose,näsa
pain,smärta
pulse,hjärtslag
rib,revben (n)
shin,skenben
shoulder,skuldra
skeleton,skelett
skin,skinn (n)
skull,skalle
sole,fotsula
spine,ryggrad
stomach,mage
temple,tinning
thigh,lår (n)
throat,strupe
thumb,tumme
toe,tå
tongue,tunga
tooth,tand
vein,åder
waist,midja
wrist,handled
