Parents,föräldrar
Mother,mamma / mor / moder
Father,pappa / far / fader
Son,son
Daughter,dotter
Brother,bror
Sister,syster
Grandfather,farfar (father's father) / morfar (mother's father)
Grandmother,farmor (father's mother) / mormor (mother's mother)
Grandson,sonson (son's son) / dotterson (daughter's son)
Granddaughter  ,sondotter (son's daughter) / dotterdotter (daughter's daughter)
Niece,brorsdotter (brother's daughter) / systerdotter (sister's daughter)
Nephew,brorson (brother's son) / systerson (sister's son)
Cousin,kusin
Uncle,farbror (father's brother) / morbror (mother's brother)
Aunt,faster (father's sister) / moster (mother's sister)
Boy,pojke
Girl,flicka
Child / Baby,barn / baby / bebis / spädbarn
Adult,vuxen (n)
Man,man
Woman,kvinna
Friend (m),vän
Friend (f),väninna
family,släkt
