I have been doing it since last christmas,Jag har gjort det sedan förra julen
I have been doing it for 3 weeks,Jag har gjort det i 3 veckor
I did it 2 days ago,Jag gjorde det 2 dagar sen
I will do it in 2 months = I will do it 2 months later,Jag gör det om 2 månader
I did it during traffic jam,Jag gjorde det i trafik-stoppningen
I did it in 1989,Jag gjorde det 1989
I did it while she was at home,Jag gjorde det medan hon var hemma
I did it after she came,Jag gjorde det efter att hon kommit
I did it before she came,Jag gjorde det före hon kommit
I will be doing it as long as she is at home,Jag kommer att göra det så länge som hon är hemma
I have been living there from 1975 till 1981,Jag har bott där från 1975 till 1981
