arrival,ankomst
baggage,bagage (n)
border,gräns
compartment,kupé
connection,förbindelse
customs,tull
delay,försening
departure,avresa
engine,lokomotiv (n)
entrance,ingång
exit,utgång
guard,konduktör
information bureau,upplysningskontor (n)
lavatory,toalett
passenger,passagerare
passport,pass (n)
platform,plattform
porter,bärare
railroad car,järnvägsvagn
railway,järnväg
return ticket,biljett retur
seat,plats
sleeping car,sovvagn
station,station
station master,stationsinspektor
stop,halt
suitcase,kappsäck
ticket,biljett
ticket office,biljettkontor (n)
time table,tidtabell
trunk,koffert
visa,visa
waiting room,väntsal
